module,bytes,functions,instructions,decode_ms,validate_ms,instantiate_ms
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/clock_getres-monotonic.wasm,102568,42,6141,1.253,1.625,0.132
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/clock_getres-realtime.wasm,102548,42,6141,1.900,2.569,0.182
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/clock_gettime-monotonic.wasm,102860,42,6199,3.992,2.112,0.172
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/clock_gettime-realtime.wasm,102592,42,6143,1.394,3.588,0.220
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/fdopendir-with-access.wasm,230368,76,12539,11.913,12.709,0.408
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/fopen-with-access.wasm,246803,77,11331,9.756,4.395,0.168
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/fopen-with-no-access.wasm,242406,74,11146,5.664,4.164,0.111
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/lseek.wasm,254207,82,11866,2.788,3.223,0.098
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/pread-with-access.wasm,227167,66,10681,1.993,2.437,0.087
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/pwrite-with-access.wasm,231100,77,11247,2.938,2.890,0.105
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/pwrite-with-append.wasm,228666,65,10855,2.537,2.990,0.099
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/sock_shutdown-invalid_fd.wasm,101293,42,6129,1.012,1.359,0.093
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/sock_shutdown-not_sock.wasm,101285,42,6127,0.916,1.334,0.096
test/wasi/testsuite/tests/c/testsuite/wasm32-wasip1/stat-dev-ino.wasm,226631,62,10593,3.388,2.437,0.095
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/big_random_buf.wasm,2109746,231,21592,17.956,12.786,0.628
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/clock_time_get.wasm,2097639,192,19483,17.062,13.682,0.647
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/close_preopen.wasm,2135714,317,26453,11.086,13.240,0.974
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/dangling_fd.wasm,2152584,381,29170,16.112,20.744,1.795
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/dangling_symlink.wasm,2157459,399,30144,19.376,15.166,0.875
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/dir_fd_op_failures.wasm,2175695,395,35984,11.596,25.647,0.863
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/directory_seek.wasm,2136875,319,26709,8.096,10.983,0.723
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/fd_advise.wasm,2130904,298,25632,8.858,8.189,0.657
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/fd_fdstat_set_rights.wasm,2144402,340,28652,8.160,16.548,0.724
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/fd_filestat_set.wasm,2130261,295,25491,8.312,8.010,0.665
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/fd_flags_set.wasm,2136787,317,26994,7.718,9.941,0.667
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/fd_readdir.wasm,2204292,468,42775,14.094,18.766,1.161
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/file_allocate.wasm,2132041,299,25904,14.288,12.745,0.936
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/file_pread_pwrite.wasm,2146612,345,28721,10.281,13.223,0.860
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/file_seek_tell.wasm,2139324,324,27297,10.168,15.445,0.967
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/file_truncation.wasm,2129967,296,25408,10.565,12.803,0.813
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/file_unbuffered_write.wasm,2132795,310,25879,9.232,9.908,0.850
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/fstflags_validate.wasm,2127689,291,24863,10.230,9.344,0.818
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/interesting_paths.wasm,2143615,317,29041,10.986,18.096,0.725
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/isatty.wasm,2130289,296,25147,7.321,9.676,0.714
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/nofollow_errors.wasm,2142332,317,28756,8.880,23.523,0.734
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/overwrite_preopen.wasm,2138462,323,27066,10.896,13.845,0.901
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/path_exists.wasm,2134593,301,26562,10.261,11.077,0.767
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/path_filestat.wasm,2142308,328,28105,10.636,14.878,0.756
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/path_link.wasm,2182207,444,36608,9.610,16.374,0.939
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/path_open_create_existing.wasm,2133336,308,25896,6.463,9.314,0.692
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/path_open_dirfd_not_dir.wasm,2133142,307,25900,6.713,8.465,0.732
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/path_open_missing.wasm,2132142,306,25693,6.876,7.760,0.667
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/path_open_nonblock.wasm,2125163,283,24399,6.458,7.451,0.727
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/path_open_preopen.wasm,2173210,430,33446,9.339,31.789,2.194
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/path_open_read_write.wasm,2140272,317,27881,16.239,15.246,0.985
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/path_rename.wasm,2179681,426,36684,13.541,23.731,1.015
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/path_rename_dir_trailing_slashes.wasm,2128360,289,24921,11.141,12.345,0.897
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/path_symlink_trailing_slashes.wasm,2181838,429,37159,14.229,18.944,0.978
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/poll_oneoff_stdio.wasm,2203332,481,38409,12.415,23.334,1.098
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/readlink.wasm,2135209,322,26379,9.758,8.944,0.715
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/remove_directory_trailing_slashes.wasm,2167152,412,32446,10.762,20.276,0.850
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/remove_nonempty_directory.wasm,2132804,306,25763,7.050,7.984,0.653
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/renumber.wasm,2139974,323,27647,7.911,12.530,0.758
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/sched_yield.wasm,2096946,190,19362,4.198,4.228,0.322
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/stdio.wasm,2133302,308,26007,6.825,7.365,0.689
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/symlink_create.wasm,2130272,295,25451,7.643,7.457,0.664
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/symlink_filestat.wasm,2133186,298,26198,6.656,9.077,0.751
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/symlink_loop.wasm,2156919,402,29787,8.045,11.063,0.811
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/truncation_rights.wasm,2139850,322,27325,7.042,9.075,0.774
test/wasi/testsuite/tests/rust/testsuite/wasm32-wasip1/unlink_file_trailing_slashes.wasm,2176799,423,35734,10.891,23.042,0.817
